#{"t_start": 1772182708.7924914, "env_id": "None"}
r,l,t
23.255,465,10.543621
19.829987,472,11.701973
13.1349945,473,12.742225
18.504993,474,13.782067
18.815,477,14.885165
22.720001,477,14.885263
16.309986,478,15.923177
16.329998,481,17.01379
17.580004,481,17.013889
26.974998,482,18.055732
23.715002,477,25.811131
18.165003,461,26.828053
20.159998,469,27.908433
16.150007,482,28.95037
24.164997,482,29.965573
23.79001,481,30.996737
24.189995,485,32.01352
26.114996,485,33.041333
17.300005,484,33.041395
25.73001,491,34.121314
28.04999,469,50.036026
18.230005,475,51.089778
17.06,479,52.211344
17.170002,474,52.211397
17.029995,478,53.244874
16.825003,476,54.26558
25.130005,473,55.290411
27.594994,479,56.323394
28.574995,476,57.418602
28.130005,489,58.449832
27.980015,471,64.599878
18.700003,479,65.711365
26.910004,468,66.734859
18.030003,468,67.78578
26.564993,473,68.816286
23.26999,469,69.863299
20.055012,477,70.900906
18.209993,480,71.949408
29.415,467,71.94945
26.240002,475,73.029894
30.620008,468,90.893055
34.449993,461,91.999839
18.290003,461,93.025412
30.735008,467,93.025457
30.54,457,94.045097
31.824987,480,95.166762
35.109985,467,96.186099
31.765001,479,97.336672
26.935017,471,98.372797
32.475006,485,99.405908
17.58,476,105.757997
37.739994,464,105.758039
18.760002,465,106.778662
33.940002,467,107.810427
19.49,460,108.870926
18.634998,483,109.936399
35.444996,456,111.051915
36.699978,453,111.051961
32.264988,477,112.068343
17.190006,477,113.268093
31.295002,461,132.725226
18.105001,466,133.81775
37.469986,458,134.858467
16.920004,469,135.905955
29.870024,456,135.905998
19.320004,475,136.933442
18.509998,465,138.08592
18.574999,467,139.102157
20.015003,459,140.21296
36.714993,478,141.234001
35.45499,456,147.456823
38.810017,455,148.486632
33.635006,465,149.626608
38.389988,446,150.686172
31.72999,468,151.711789
33.324986,478,152.824702
20.3,480,152.824747
34.889988,469,153.931647
19.919994,464,154.998094
33.57002,472,156.063441
18.005005,454,173.801286
40.494984,453,174.830147
39.045006,452,175.946231
35.660004,462,177.149514
18.885004,472,178.241706
32.105007,458,179.259567
32.409996,461,180.304156
35.685013,459,181.423745
21.79501,473,182.515422
22.109991,481,183.728734
34.495003,454,189.546441
32.899998,460,190.608899
37.38001,454,191.700063
33.54499,446,192.871413
32.92,451,193.930082
37.134987,460,194.964322
38.42001,460,196.082215
39.095005,449,197.121285
33.69499,459,198.320327
35.059998,455,199.521598
38.120003,449,205.162529
41.259995,455,206.276111
34.029995,450,218.589751
32.735004,477,219.644236
20.499998,467,220.725546
40.890015,452,221.754545
21.315006,477,222.896951
31.83501,447,223.91518
21.614994,479,225.068858
20.699993,486,226.500087
39.100025,449,231.71203
21.299995,463,232.988576
43.250008,446,234.249325
38.24502,457,235.354355
20.80001,472,236.381491
37.955017,446,237.435906
39.969997,438,238.493608
21.715004,478,239.520081
34.31998,462,240.608715
36.155003,459,242.23864
33.20501,459,247.455557
35.224987,456,248.700441
36.865013,446,249.823341
39.39501,457,251.098787
37.774986,462,252.114546
32.445,454,253.136504
38.085,453,254.151977
21.384987,476,255.248447
35.390003,470,256.402735
35.010014,462,270.555752
20.885006,454,275.81083
32.995003,456,277.064248
40.060005,443,278.400212
22.329994,474,279.468631
44.505,449,280.53177
33.83001,459,281.637403
21.030003,460,282.672472
19.489988,462,283.786418
20.279995,468,285.039369
43.899986,443,286.288498
35.48499,454,291.437853
37.28498,449,292.652519
42.039986,437,293.855528
21.155012,469,295.181276
32.350014,454,296.212763
42.615,451,296.212806
21.359999,470,297.325972
36.014988,457,298.412919
37.595,447,299.546665
31.995008,452,300.850502
21.275005,474,319.468931
37.20999,457,320.491882
39.225,439,321.824689
40.654984,443,322.891571
21.855007,474,323.915004
39.705,451,324.968688
33.749992,452,326.068537
40.6,451,327.163425
33.919994,468,328.461513
40.43999,447,329.513211
33.800003,447,334.882437
35.980003,465,336.120176
34.124954,444,337.377577
34.70499,454,338.418447
21.575005,468,339.48871
38.804993,445,340.517312
37.850006,463,340.51739
42.584995,448,341.62074
34.114983,444,342.868458
36.164993,459,344.029259
34.934998,452,360.885918
21.490007,474,361.915016
39.290016,436,362.974288
20.110004,460,364.157571
20.81,462,365.274131
33.500015,466,366.306454
35.835022,456,367.340755
21.159996,467,367.340815
35.005,463,368.665868
33.45501,457,369.797413
39.505005,447,375.563018
36.694992,459,376.661395
40.244995,438,377.921571
22.130001,477,378.943065
37.379997,445,379.962732
20.504995,468,381.050458
20.410004,465,382.167484
22.460007,475,383.281323
20.629995,464,384.474252
36.550014,455,385.524254
39.41001,440,390.699235
43.770004,443,391.805449
31.27499,452,406.745559
41.920002,446,407.807574
21.234997,460,408.858598
21.169994,470,409.928889
42.24501,452,411.010617
34.74501,454,412.126605
36.050014,461,413.461655
20.965004,461,414.521978
21.699991,469,420.253593
21.520012,463,421.354799
40.584976,434,422.431844
40.020008,439,423.53661
41.160007,433,424.598636
43.835,455,425.776041
43.18501,447,426.838902
20.590012,466,428.177441
37.509995,441,429.250414
35.58501,463,430.460383
40.944992,439,435.597738
32.354996,447,436.623642
36.700005,450,437.772088
37.519993,447,438.912609
37.53001,464,440.007128
39.68502,450,441.083439
22.230011,467,442.319404
39.305004,450,443.463324
33.90499,450,444.533582
35.715,453,445.689427
37.640007,441,461.692493
21.615007,454,462.842928
36.56002,448,464.060689
22.02999,467,465.116431
35.355015,458,466.342892
20.439995,465,467.359444
35.725014,452,468.694881
23.08001,469,469.710142
33.724995,453,470.788417
21.610006,462,472.089638
41.700012,442,477.051538
19.755005,460,478.393579
35.464993,451,479.519422
40.26,448,480.553405
37.079987,438,481.663918
21.965002,457,482.8358
42.339996,444,484.044801
35.97502,449,485.079706
38.48499,467,486.335242
35.760014,459,487.531517
20.595003,456,504.523372
35.15,451,505.829618
37.970005,442,507.028231
37.180008,455,508.066596
21.420004,460,509.093397
21.320005,458,510.41277
37.12,448,511.560716
21.345003,458,512.615444
21.864994,470,514.138851
21.82501,463,515.291666
20.599998,454,519.665517
32.719997,443,520.857154
40.995003,442,522.015553
34.34001,450,523.130193
22.660002,463,524.261972
22.580004,454,525.495627
35.52502,450,526.592668
20.22501,454,527.712602
34.014996,444,529.186764
20.835003,465,530.2605
22.915003,464,546.651779
36.969982,446,547.824089
38.520004,468,548.882865
21.259996,455,550.042682
21.359991,458,551.195402
41.18499,439,552.26055
41.889988,450,553.520808
34.394997,441,554.536545
37.90001,457,556.418425
21.235014,459,557.50148
34.450005,437,562.15431
40.314976,446,563.428548
38.795,455,564.585591
36.870003,454,565.706043
36.160004,446,566.76337
40.145008,441,567.781653
38.430004,443,569.040694
22.405003,471,570.291641
36.810017,442,571.836422
35.420002,460,572.912683
20.974998,456,577.41618
37.119995,466,578.782668
20.720001,461,579.861641
38.77499,439,579.861686
41.865,456,593.862857
21.350008,457,594.95643
20.47001,458,596.259744
22.100014,466,597.739834
36.165012,446,598.984588
40.194977,438,600.003607
36.49,447,604.989787
39.189972,437,606.272535
44.020004,440,607.396799
21.365005,463,608.620432
20.630016,456,609.652963
21.330002,462,610.775317
38.49999,443,611.84338
34.18002,443,613.25744
43.18999,438,614.446478
36.864986,462,615.724498
36.12001,452,620.079962
41.934998,443,621.266501
37.969994,455,622.47862
36.644997,450,623.684724
36.55,452,624.735946
22.000004,459,625.899666
36.57,462,627.007854
37.775,457,628.309937
35.564995,447,629.393841
35.655003,457,630.782465
34.395,450,647.82465
40.629986,445,648.933481
22.02,466,650.492875
33.50999,450,651.519504
32.635006,457,652.876783
23.485004,479,653.902438
21.795006,468,655.127833
40.625008,449,656.257531
23.33502,475,657.616893
35.96002,450,658.70672
35.735012,427,662.913478
36.04499,457,664.399774
36.119984,436,665.636599
20.540003,462,666.918658
34.74999,442,668.051231
21.470003,457,669.232488
38.869976,448,670.320396
38.920006,463,671.590924
23.095001,460,672.934938
36.55003,459,674.024357
36.964996,453,691.342156
38.66499,457,692.932286
42.674995,444,694.053815
20.06,454,695.625061
23.219994,463,696.881293
37.02499,453,698.072895
21.530003,465,699.097952
21.825008,472,700.654645
35.24501,447,701.716423
21.130005,455,702.918505
36.79999,453,707.251629
36.135002,459,708.909336
35.72001,463,710.068034
40.974987,439,711.239666
36.15499,458,712.762444
36.219986,449,713.873533
22.854996,462,715.008536
37.000008,449,716.3527
36.145023,462,717.5438
36.195007,455,718.633737
22.720003,468,735.10956
36.365005,444,736.472705
40.59,445,737.703884
36.115025,452,738.965977
40.30999,435,740.539131
23.630007,470,741.669851
23.224993,466,742.760981
39.54501,460,744.246
37.905006,442,745.265387
38.01001,456,746.527652
35.345016,445,750.728717
41.504993,433,751.877589
38.554996,457,753.302161
35.339996,443,754.368643
38.130005,454,756.072298
40.955013,445,757.171226
22.179998,465,758.309515
22.030008,464,759.77851
22.229994,468,760.815433
36.440002,460,761.960299
45.15502,452,766.213363
23.085005,469,767.23873
42.96499,446,768.644183
22.145002,460,769.708304
41.47502,433,782.921752
37.425014,452,784.021618
21.675005,469,785.546286
22.470001,460,786.970065
23.629995,465,788.056552
22.060007,464,789.228703
36.819992,450,793.638554
37.465,459,794.783572
36.77499,450,796.157369
36.289993,455,797.290866
40.42999,432,798.648129
38.495014,472,799.987514
38.189995,453,801.318606
41.034985,441,802.759238
35.550003,460,803.874009
37.844997,448,805.013558
34.059998,439,809.256939
37.185,458,810.361653
39.795002,434,811.562508
35.715008,447,812.853226
20.960001,456,814.325485
36.989975,461,815.716009
22.565008,454,817.021269
35.675007,462,818.474652
37.225002,451,818.474694
37.449997,443,819.516947
39.944996,462,836.407054
36.054993,455,837.429523
39.09998,463,838.702726
37.16501,455,839.91354
37.63499,459,841.450924
23.205002,468,843.097574
45.005,449,844.169499
37.454994,441,845.581112
42.225002,444,846.621377
22.604986,474,848.024016
39.459988,445,852.063331
42.33501,437,853.264873
23.054995,466,854.315793
23.235004,462,855.877608
39.53998,442,857.165999
38.04999,443,858.694039
38.490017,464,859.965248
41.849987,447,861.160584
37.40499,451,862.179093
43.22498,449,863.542286
22.564995,462,880.600571
42.955,446,881.631624
23.260004,457,882.781618
41.700012,434,884.327887
22.86999,467,885.409092
38.09999,463,887.226715
45.419987,449,888.350169
22.255009,468,889.729566
22.734997,473,890.76988
22.835003,471,892.092678
38.644978,461,896.267528
22.520008,462,897.298234
24.484991,473,898.614996
43.825016,444,899.735891
36.534973,452,900.928995
22.124992,456,903.04028
23.644995,471,904.073252
36.074986,459,905.538395
40.04497,458,906.57497
37.399982,453,907.921095
43.895004,445,924.218071
22.714996,458,925.414637
41.515007,440,926.488755
37.66,457,927.783205
40.629974,445,928.833691
36.135025,446,930.877083
38.490032,462,1332.770543
40.984974,439,1333.984032
22.255014,461,1335.149932
21.315002,462,1336.481081
38.330006,440,1340.305871
37.775005,458,1341.325689
21.899998,458,1342.527358
36.709995,454,1343.784864
37.270004,458,1344.874904
44.09499,439,1346.797978
23.269999,468,1347.939603
43.229977,440,1349.185833
23.749994,462,1350.221638
35.394997,439,1351.488837
40.140003,447,1355.264605
36.979996,461,1356.422093
23.15,467,1357.713823
38.29501,454,1358.835935
39.325005,462,1360.016219
38.16501,442,1370.06201
40.29502,438,1371.553144
24.309994,472,1372.629802
36.43499,453,1373.698779
41.745,447,1375.001757
42.165005,439,1378.725695
43.910004,439,1379.921346
41.804996,438,1381.408553
37.00501,462,1382.545415
35.829994,450,1383.70149
20.169998,458,1385.617162
35.91999,432,1386.904589
44.414978,453,1388.118507
22.250002,461,1389.134869
22.539999,458,1390.535456
35.099995,445,1394.239085
40.92498,449,1395.457278
41.19999,449,1397.123614
23.559996,470,1398.203085
37.044987,455,1399.331924
37.815006,435,1400.845859
37.920002,444,1402.202014
41.96001,438,1403.316819
38.574997,468,1404.614784
22.894999,453,1405.815073
24.170004,468,1418.350965
36.460003,462,1419.507141
38.734985,438,1421.117174
38.055008,469,1422.229735
22.74501,464,1423.263847
41.35499,441,1424.703739
19.875002,450,1426.15218
23.689997,469,1427.462967
22.359999,462,1428.639604
44.280014,448,1429.771008
24.309992,464,1433.452906
21.870005,464,1434.582823
45.84,452,1436.009362
39.1,463,1437.260235
23.295006,475,1438.368899
23.130001,469,1439.711923
39.449993,436,1441.152901
22.595003,467,1442.170902
40.28499,438,1443.397928
22.119991,458,1444.67276
38.445,443,1459.64099
37.375008,461,1460.689872
22.265,456,1462.193996
44.745003,443,1463.3039
38.83999,455,1464.527784
39.530003,443,1465.790309
42.10498,430,1467.084561
38.12,458,1468.38988
37.66501,460,1469.630787
21.810005,459,1470.912696
38.319984,456,1474.790067
38.015026,460,1474.790113
38.46998,457,1476.286139
42.545013,447,1477.317822
21.825006,457,1478.607127
22.080004,460,1479.901814
45.495,450,1481.082778
22.425007,454,1482.438908
37.00501,452,1483.645828
41.969997,445,1484.791894
42.780018,445,1500.29909
37.17001,463,1501.48479
23.174997,465,1503.021946
22.464994,469,1504.067726
22.760002,460,1505.281007
23.704992,476,1506.72121
36.410004,460,1507.737149
24.035,478,1509.326767
38.20501,456,1510.343437
36.745007,459,1511.559285
35.065014,457,1515.505748
22.149994,466,1516.766693
41.250004,429,1518.206214
38.80001,460,1519.271875
23.924997,472,1520.364082
42.420006,445,1521.845916
23.095007,471,1523.14172
38.93001,446,1524.359065
22.289995,458,1525.436783
22.504995,465,1526.73008
23.599997,476,1530.853776
38.58499,461,1531.979592
43.544987,437,1533.163934
36.215008,450,1534.384948
24.614992,483,1546.557935
37.469994,456,1547.718215
36.844997,455,1548.986895
38.689995,443,1550.293865
37.05503,461,1551.38261
23.97,475,1552.961296
39.78999,463,1556.733907
22.810013,471,1557.931425
39.359993,459,1558.973834
23.795008,472,1560.344916
39.439995,460,1561.627943
37.12999,460,1562.803008
21.234993,468,1564.196865
39.32498,439,1565.242162
23.0,465,1566.397816
39.864983,451,1567.923067
22.004997,464,1572.030021
38.68,455,1573.166812
38.245,476,1574.320644
23.729986,470,1575.674045
37.04999,466,1576.910138
38.599983,452,1577.937823
41.035007,456,1579.314035
39.184986,458,1580.367073
36.589993,453,1581.506675
38.96501,452,1592.128882
22.86999,469,1596.720392
43.884983,448,1597.831069
23.010002,481,1598.998152
33.65,453,1600.247147
40.41,447,1601.458924
21.985006,458,1602.548911
38.635002,443,1603.93249
34.324986,438,1604.998811
37.959988,465,1606.086482
35.254997,445,1607.566584
42.964993,449,1611.809215
38.87499,457,1612.991842
45.300014,444,1614.026853
39.95999,461,1615.496069
39.565002,463,1616.707994
22.959997,468,1617.858937
44.320007,444,1619.014321
23.135004,458,1620.061007
38.275013,458,1621.203911
23.539999,467,1622.804001
42.275005,445,1637.736233
45.839973,448,1638.987169
42.15999,445,1638.987285
37.91498,456,1640.652339
43.834988,444,1641.760788
37.24,450,1642.993947
22.219997,456,1644.168915
38.055027,452,1645.186085
37.830036,467,1646.461906
43.665,443,1647.811768
36.155006,454,1652.026125
41.644985,435,1653.060016
23.140001,460,1654.343015
22.759998,462,1655.812817
22.285007,463,1656.92053
37.939995,460,1658.066808
37.704994,460,1659.279127
38.195,464,1660.30974
42.095,442,1661.409725
36.089996,451,1662.786546
23.440004,477,1678.673809
22.764997,475,1679.691119
37.77501,455,1680.744832
23.055004,464,1682.429065
23.109999,464,1683.555019
22.384996,467,1684.783561
45.50999,445,1685.836746
35.135006,450,1686.966453
23.989994,467,1688.006092
22.464994,459,1689.449443
36.424995,460,1693.868717
24.010006,472,1694.974088
22.445007,469,1696.017986
40.24,429,1697.561633
41.254997,437,1698.607736
23.679985,469,1699.626028
22.254993,464,1700.695793
38.535015,447,1701.89013
22.430021,463,1703.102922
37.620003,455,1704.491061
36.379993,471,1709.336075
38.399998,466,1710.411008
43.524986,465,1711.445174
46.19501,443,1723.042162
37.709988,457,1724.238929
38.99,468,1725.366629
24.734987,466,1726.404709
36.47,458,1727.546901
36.160004,440,1728.568925
44.079983,450,1730.141045
40.985004,444,1735.011895
45.374992,449,1736.078666
22.835009,459,1737.100915
22.754993,468,1738.643897
23.854998,468,1739.862001
37.700012,462,1740.963754
43.645004,449,1741.982857
44.180008,447,1741.9829
24.149996,476,1743.067118
47.249996,459,1744.657186
41.42499,446,1749.210023
41.34502,449,1750.322853
22.230015,460,1751.407673
23.300003,461,1752.998707
41.480003,446,1754.141217
39.439983,450,1755.172695
42.989994,449,1756.244794
22.490005,471,1757.271859
23.550003,479,1758.429952
37.639996,460,1770.837852
40.58499,446,1775.533002
23.270006,460,1776.556749
39.964985,468,1777.857812
39.194992,446,1779.342731
39.734985,465,1780.406619
43.34499,449,1781.427485
37.15,452,1782.568359
21.345003,456,1783.600611
20.855,462,1784.89188
38.220016,462,1786.337421
46.44001,459,1791.193009
40.584976,471,1792.284099
23.659998,464,1793.532099
42.24999,448,1794.981466
41.470013,445,1796.183127
39.784985,465,1797.2286
36.910027,466,1797.22867
37.974995,466,1798.384627
38.609997,456,1799.536085
22.324993,463,1801.102532
37.88,454,1817.686975
38.954987,472,1818.75583
40.83,444,1819.815204
40.965,449,1821.149865
37.17499,458,1822.451982
38.705,460,1823.505847
39.87501,476,1824.650754
37.560005,466,1825.70185
43.909985,454,1826.764178
22.179989,461,1828.456983
40.88999,446,1833.327646
23.114996,470,1834.488873
39.034996,469,1835.60303
42.39499,450,1836.771893
41.125004,452,1838.118439
42.384983,450,1839.339104
37.265007,472,1840.407755
36.79999,454,1841.450028
38.395008,465,1842.608082
42.175007,464,1844.111836
36.564983,432,1860.12999
21.780008,466,1861.298922
38.100014,466,1862.597362
45.425003,458,1863.693036
40.639996,475,1865.25233
38.339993,466,1866.425415
23.240002,470,1867.503749
25.295002,481,1868.541094
22.84,473,1869.739002
42.960003,445,1870.999115
37.255005,460,1875.666464
45.36999,456,1876.802627
21.580008,460,1878.240576
41.885006,453,1879.259064
42.93501,447,1880.686023
43.725006,457,1882.032798
23.475002,467,1883.081526
36.585,469,1884.176478
23.11501,470,1885.367625
39.62499,476,1886.748977
37.754997,469,1891.30022
22.559998,466,1892.409983
41.84997,452,1904.84379
44.490017,458,1905.906206
22.925001,462,1907.396227
43.03001,451,1908.824017
39.250008,469,1909.860626
40.805004,473,1910.923687
38.954975,470,1912.202097
38.559994,478,1913.577867
41.285007,452,1917.530313
40.379997,446,1918.588893
23.159998,464,1919.973985
23.090004,471,1921.127283
38.699993,451,1922.362907
21.584997,462,1924.12768
24.019997,474,1925.143736
38.03499,472,1926.16591
22.724998,463,1927.4128
34.535007,458,1928.782881
22.419989,462,1933.009602
23.700006,470,1934.147943
35.339993,458,1935.438205
40.229965,445,1936.456001
38.485016,442,1937.683965
42.024994,453,1950.509783
36.67999,463,1951.588225
22.454994,466,1952.628014
38.30001,444,1953.692909
33.789986,443,1955.039892
39.329998,453,1959.242408
20.914995,465,1960.48081
38.66,467,1961.816122
40.570004,452,1962.871964
25.365002,492,1964.052781
43.940033,447,1965.720839
22.65001,475,1966.916914
38.26499,467,1967.958125
22.179996,478,1969.102747
22.784996,459,1970.255061
21.610016,462,1974.579087
24.199991,482,1976.079055
37.78001,460,1977.198715
44.58499,443,1977.198761
38.634987,471,1978.252827
24.67499,478,1980.200791
36.72,458,1981.216082
40.714993,450,1982.320967
21.27001,475,1983.41286
23.210014,465,1984.649803
43.23498,450,1998.950154
36.069992,459,2000.606938
21.589993,451,2001.671926
22.849997,468,2002.829061
23.655005,473,2003.84673
22.150005,459,2005.770323
22.189991,464,2006.826459
38.025,462,2007.942347
22.61,463,2009.015742
40.359997,443,2010.039905
44.015034,446,2014.086846
43.48501,453,2015.846159
21.535,459,2016.976319
45.075005,449,2018.119871
38.490005,463,2019.261524
37.645042,464,2021.239512
37.455006,460,2021.239566
36.705,461,2022.383598
42.33999,453,2023.403818
36.184986,458,2024.480912
36.90001,449,2041.130951
36.915,436,2043.0644
22.720013,467,2044.137397
22.310001,460,2045.188051
45.145,441,2046.242016
44.590004,454,2048.48106
38.349983,467,2049.616944
38.470016,463,2050.722004
39.84501,466,2051.753174
23.495,468,2052.85795
43.83001,455,2056.746584
42.695004,447,2058.663541
22.444998,460,2059.686817
42.32501,447,2060.743056
38.16502,459,2061.766961
37.584995,456,2064.002869
37.170036,455,2065.150461
37.28998,449,2066.194786
44.375008,448,2067.211342
35.93499,451,2068.341782
22.699995,460,2072.058993
42.835014,443,2085.227798
38.4,468,2086.579868
24.69,471,2087.595691
25.619997,482,2088.660912
36.74,459,2090.770748
45.889996,451,2091.849715
22.925,464,2092.958403
24.314997,469,2094.055253
23.039993,458,2095.093904
37.625008,453,2099.139345
40.769978,439,2100.669103
41.15001,442,2102.062868
40.860012,443,2103.14025
39.369995,457,2104.229831
38.27999,442,2106.159842
43.399986,435,2107.203912
22.700003,457,2108.250839
21.949995,453,2109.496515
38.920006,471,2110.669755
38.764984,458,2114.345843
44.230003,442,2115.685889
45.695004,450,2117.1045
22.225004,457,2118.245904
23.139994,457,2119.349878
21.940002,450,2131.534823
38.68002,462,2132.726233
22.790007,475,2133.793009
34.540016,445,2134.835468
42.019974,452,2136.082862
39.649963,458,2140.131926
37.604992,456,2141.434569
42.794994,451,2142.886781
38.92498,455,2144.111812
40.460014,459,2145.24507
41.614983,443,2146.993626
36.614998,453,2148.290718
42.395,449,2149.330098
22.765001,463,2150.459078
21.599997,452,2151.576538
39.520004,436,2155.155828
38.27002,463,2156.781832
39.83,459,2158.130856
22.889997,463,2159.350586
35.954994,453,2160.382828
41.71499,449,2162.036984
42.17002,452,2163.394964
21.849985,459,2164.438885
22.384996,461,2165.580611
45.489998,455,2166.64676
42.485004,451,2180.33167
38.349987,460,2182.151929
38.27,472,2183.717198
43.460007,452,2184.745843
40.359993,469,2185.949984
23.535002,472,2187.720361
42.85502,444,2188.770967
38.509987,464,2189.988095
23.759998,459,2191.18044
38.10499,469,2192.204981
38.350014,465,2195.898576
37.280006,464,2197.635938
22.760006,458,2199.004406
23.434994,469,2200.122761
23.680002,469,2201.313248
40.960014,438,2202.638918
38.285004,466,2203.857334
41.274986,443,2205.165612
23.774992,480,2206.318861
38.805027,466,2207.388716
37.57,460,2222.180595
43.215015,460,2223.930667
45.224995,445,2225.170804
37.8,460,2226.461106
42.165016,452,2227.588164
39.14999,463,2229.114604
24.580008,472,2230.447811
23.210005,467,2231.699875
43.434975,460,2232.779067
23.230005,470,2233.906298
45.42002,451,2237.16493
36.62997,452,2239.159963
24.34999,478,2240.177823
37.780006,458,2241.475669
22.720003,461,2242.582976
24.295002,468,2244.148855
23.109991,471,2245.510964
38.834988,460,2246.616081
24.01001,466,2247.76181
35.550003,459,2248.857006
24.509995,474,2252.283178
38.470005,462,2264.423554
23.110008,467,2265.489614
38.40999,451,2266.690123
23.944998,479,2268.194941
41.26502,448,2269.434772
42.454987,445,2270.960242
37.57001,461,2272.012542
36.459976,449,2273.159641
24.170006,471,2274.573961
22.190008,459,2277.949908
39.949978,447,2279.700316
36.120003,458,2280.870528
21.815002,455,2282.015775
40.809998,452,2283.441022
23.309994,471,2284.945889
39.504997,463,2286.359956
40.17501,445,2286.360005
37.809986,464,2287.411133
43.685013,456,2288.903584
43.029995,457,2292.423173
39.369995,435,2294.098275
23.249996,469,2295.282144
41.37999,447,2296.370881
43.070004,452,2309.65217
37.230015,460,2311.293826
40.144985,450,2312.643533
42.735,449,2313.681055
38.87499,463,2314.788851
22.234999,464,2316.327895
39.045033,446,2319.708917
38.379993,447,2321.709667
38.22,456,2321.709721
23.964998,474,2322.731754
39.55499,452,2324.324199
41.974995,450,2325.944005
21.680004,460,2327.349422
36.83999,459,2328.388893
37.179996,472,2329.596091
36.940002,462,2330.946669
36.774998,456,2334.219709
36.97499,451,2336.15895
34.719997,453,2337.197835
37.739994,466,2338.340751
39.959995,457,2339.761846
43.115013,453,2341.300043
42.499977,446,2342.678715
22.510006,468,2343.872874
23.735006,471,2355.902137
44.300003,447,2356.998776
25.095005,476,2360.455614
40.575,456,2362.279454
23.530014,471,2363.478952
39.004993,458,2364.503947
48.52498,453,2365.911392
36.905006,428,2367.157071
37.67499,458,2368.895515
39.984985,470,2370.21405
22.334986,467,2371.466415
37.85,461,2372.4981
40.76001,446,2375.846624
39.320007,461,2377.697824
22.714996,460,2378.855929
38.789978,462,2379.874032
24.26499,470,2381.327919
22.585003,472,2382.551212
22.809988,461,2384.142992
42.70998,442,2385.265829
40.430004,444,2386.540574
22.809992,472,2387.906798
40.615017,463,2401.359673
36.149998,438,2403.156869
38.82999,462,2404.231857
23.144985,459,2405.384633
42.40001,457,2406.907865
38.769978,468,2408.33481
24.49499,467,2409.910168
38.655,456,2410.927647
22.725014,458,2412.260616
39.16498,458,2413.612509
22.410004,462,2416.826957
38.280003,439,2418.306786
41.980003,444,2419.438828
21.944998,457,2420.729798
41.750008,438,2421.949914
23.289991,461,2423.478192
39.57497,457,2424.982958
22.279997,469,2426.105857
37.09998,457,2427.269939
39.329987,462,2428.670176
36.550003,456,2443.739619
41.784977,447,2445.118927
21.455004,466,2446.4557
39.714993,459,2447.671975
22.900003,479,2449.12811
22.244995,463,2450.55484
38.199997,463,2452.031176
45.039974,445,2453.154674
39.809994,464,2454.189845
36.96001,453,2455.633027
40.25999,470,2458.907548
22.815014,465,2460.21801
40.61501,450,2461.377741
39.934967,444,2462.537973
23.125013,463,2464.276346
22.430012,458,2465.635699
39.824997,467,2467.291885
22.810005,466,2468.404898
22.640001,472,2469.478017
22.894993,460,2470.842275
22.809992,459,2474.27507
41.97001,439,2475.369218
44.71001,451,2476.654035
36.999996,450,2477.794957
37.41999,456,2490.10264
43.145004,448,2491.394819
36.98999,449,2493.003696
38.78,464,2494.248788
22.410011,460,2495.292051
24.245,471,2496.782373
36.095005,450,2499.984774
43.274998,450,2501.094804
38.779987,448,2502.431014
39.454994,446,2503.542846
35.16001,444,2505.240973
22.925005,465,2506.750015
23.685019,471,2508.439947
41.130005,462,2509.595851
23.815004,463,2510.648044
39.53,465,2512.102397
41.130016,436,2515.158353
36.63499,452,2516.207241
38.949993,463,2517.733698
20.460003,451,2517.733757
41.44998,468,2519.745799
37.855,449,2521.08429
41.420033,438,2533.255715
22.480003,478,2534.947032
40.10501,474,2535.969865
36.870003,458,2537.26422
39.815,445,2540.135096
36.704998,465,2541.412606
43.309994,450,2542.81504
38.999973,462,2543.924772
45.535,452,2545.76159
39.265003,465,2547.231763
22.619993,462,2548.743026
37.754986,449,2550.244949
22.649998,460,2551.35413
23.400002,460,2552.636868
39.865017,458,2555.303791
38.599995,466,2556.65947
40.37,461,2558.13185
24.625002,477,2559.16696
38.60001,460,2560.859869
22.730001,465,2562.35789
22.050005,468,2563.952565
39.27502,465,2565.417352
37.834988,457,2566.477723
23.664991,468,2567.891207
49.14501,442,2581.090033
39.345016,464,2582.756193
38.800007,458,2584.152786
23.155,455,2585.170923
38.699986,465,2587.080965
43.39001,440,2588.308821
38.195,454,2590.011407
39.375008,445,2591.415193
22.574993,467,2592.669004
23.675013,468,2594.083234
36.910015,459,2596.280946
23.790003,468,2598.054032
24.780006,463,2599.329914
22.865004,464,2600.354315
22.689993,466,2602.215882
22.950005,463,2603.381741
23.279991,468,2605.194358
40.945007,448,2606.335922
46.019993,453,2607.628745
45.16999,448,2608.992212
22.535002,467,2623.588908
37.135014,459,2625.279637
44.180004,445,2626.431353
